Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Strength training duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,19.200520957509674,,,,88.5,93.0,87.0,,,,10,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509674,,,,96.25,98.0,93.0,,,,10,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509674,,,,95.25,100.0,93.0,,,,10,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509674,,,,92.75,101.0,88.0,,,,6,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509674,,,,96.75,99.0,92.0,,,,6,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509674,,,,96.5,100.0,93.0,,,,6,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509674,,,,90.5,94.0,85.0,,,,6,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509674,,,,84.5,86.0,81.0,,,,6,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509674,,,,85.0,89.0,81.0,,,,6,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509674,,,,78.0,78.0,78.0,,,,6,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509674,,,,73.0,75.0,71.0,,,,6,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509674,,,,78.75,87.0,67.0,,,,6,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509674,,,,76.75,89.0,71.0,,,,6,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509674,,,,84.5,87.0,78.0,,,,5,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509674,,,,73.75,86.0,65.0,,,,1,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,19.200520957509674,,,,71.5,78.0,66.0,,,,1,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,19.200520957509674,,,,68.75,93.0,60.0,,,,1,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,19.200520957509674,,,,97.0,113.0,61.0,,,,1,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,19.200520957509674,,,,71.25,110.0,57.0,,,,1,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,19.200520957509674,,,,60.0,64.0,58.0,,,,1,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,19.200520957509674,,,,62.5,64.0,61.0,,,,1,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,19.200520957509674,,,,70.5,88.0,62.0,,,,1,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,19.200520957509674,,,,72.75,105.0,59.0,,,,1,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,19.200520957509674,,,,58.25,59.0,58.0,,,,1,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,19.200520957509674,,,,64.25,79.0,56.0,,,,1,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,19.200520957509674,,,,67.25,93.0,52.0,,,,1,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,19.200520957509674,,,,56.5,64.0,54.0,,,,1,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,19.200520957509674,,,,59.75,76.0,54.0,,,,1,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,19.200520957509674,,,,60.0,70.0,56.0,,,,1,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,19.200520957509674,,,,67.75,77.0,57.0,,,,1,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,19.200520957509674,,,,57.75,62.0,54.0,,,,1,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,19.200520957509674,,,,65.5,86.0,56.0,,,,1,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,19.200520957509674,,,,87.0,102.0,54.0,,,,1,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,19.200520957509674,,,,65.0,100.0,51.0,,,,1,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,19.200520957509674,,,,54.75,57.0,52.0,,,,1,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,19.200520957509674,,,,56.75,58.0,56.0,,,,1,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,19.200520957509674,,,,61.0,69.0,57.0,,,,1,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,19.200520957509674,,,,54.75,57.0,52.0,,,,1,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,19.200520957509674,,,,65.0,73.0,53.0,,,,1,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,19.200520957509678,,,,63.0,65.0,61.0,,,,182,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,19.200520957509678,,,,,,,,,,229,,,,
10:15:00.000+05:30,10:30:00.000+05:30,,19.200520957509678,,,,83.0,83.0,83.0,,,,229,,,,
10:30:00.000+05:30,10:45:00.000+05:30,,19.200520957509678,,,,87.75,91.0,82.0,,,,229,,,,
10:45:00.000+05:30,11:00:00.000+05:30,5,51.564144234451184,0.0,5.0,5,88.0,91.0,85.0,,,,229,,,,346000
